"user_id","date"
675,2014-12-31 16:16:12
1967,2014-12-31 16:37:57
57,2014-12-31 17:05:32
1532,2014-12-31 17:26:25
1831,2014-12-31 18:20:54
1466,2014-12-31 18:26:31
731,2014-12-31 18:56:12
1919,2014-12-31 19:04:44
1232,2014-12-31 20:11:52
315,2014-12-31 20:36:30
715,2014-12-31 20:49:27
712,2014-12-31 20:49:55
219,2014-12-31 20:51:44
996,2014-12-31 21:50:00
90,2014-12-31 22:21:05
385,2014-12-31 22:23:28
956,2014-12-31 22:28:21
641,2014-12-31 22:32:23
1901,2014-12-31 22:35:11
1391,2014-12-31 22:48:37
213,2014-12-31 22:58:42
1585,2014-12-31 23:00:44
1569,2014-12-31 23:30:29
497,2015-01-01 00:09:23
1582,2015-01-01 00:19:14
261,2015-01-01 02:32:16
824,2015-01-01 02:55:43
131,2015-01-01 03:38:31
327,2015-01-01 03:57:19
1954,2015-01-01 04:33:17
227,2015-01-01 04:52:53
1998,2015-01-01 04:58:54
1196,2015-01-01 05:13:04
1584,2015-01-01 06:27:32
386,2015-01-01 06:36:53
797,2015-01-01 08:05:08
844,2015-01-01 10:03:22
1947,2015-01-01 10:09:18
521,2015-01-01 10:14:43
372,2015-01-01 10:43:24
1739,2015-01-01 11:51:14
816,2015-01-01 12:08:33
1745,2015-01-01 13:20:35
828,2015-01-01 13:21:05
56,2015-01-01 13:38:15
1848,2015-01-01 14:09:21
671,2015-01-01 14:41:19
270,2015-01-01 14:57:25
1283,2015-01-01 15:40:47
1879,2015-01-01 16:34:56
1599,2015-01-01 17:10:42
1838,2015-01-01 17:31:52
1595,2015-01-01 18:21:12
1464,2015-01-01 18:35:34
1396,2015-01-01 18:51:34
62,2015-01-01 19:21:04
29,2015-01-01 19:45:20
224,2015-01-01 20:04:24
570,2015-01-01 20:36:26
1144,2015-01-01 20:48:09
1576,2015-01-01 20:57:06
767,2015-01-01 21:55:30
491,2015-01-01 22:48:01
1477,2015-01-01 23:41:12
933,2015-01-02 00:02:37
734,2015-01-02 00:45:18
48,2015-01-02 00:48:10
1152,2015-01-02 02:37:50
1242,2015-01-02 02:50:07
1196,2015-01-02 03:09:46
1282,2015-01-02 04:11:39
1998,2015-01-02 04:21:31
1600,2015-01-02 04:25:55
408,2015-01-02 05:20:16
1803,2015-01-02 05:32:46
1383,2015-01-02 05:39:08
743,2015-01-02 06:26:14
1791,2015-01-02 07:48:23
1477,2015-01-02 07:50:32
301,2015-01-02 08:03:28
705,2015-01-02 08:13:36
1315,2015-01-02 09:29:24
691,2015-01-02 10:09:16
690,2015-01-02 10:23:22
255,2015-01-02 10:43:20
1038,2015-01-02 12:16:55
1571,2015-01-02 12:21:03
1347,2015-01-02 12:32:43
327,2015-01-02 13:10:18
1469,2015-01-02 13:27:06
1654,2015-01-02 13:30:52
7,2015-01-02 13:34:05
1598,2015-01-02 13:39:55
1007,2015-01-02 13:41:34
266,2015-01-02 14:49:39
1613,2015-01-02 14:51:33
1093,2015-01-02 14:57:19
1495,2015-01-02 15:24:14
926,2015-01-02 16:12:43
1399,2015-01-02 16:31:45
1432,2015-01-02 17:07:01
1657,2015-01-02 18:27:32
391,2015-01-02 18:30:26
934,2015-01-02 18:44:05
1893,2015-01-02 19:05:38
1229,2015-01-02 19:21:07
578,2015-01-02 19:28:42
1798,2015-01-02 20:29:44
1517,2015-01-02 20:51:15
1580,2015-01-02 20:52:25
1007,2015-01-02 21:21:19
971,2015-01-02 21:57:57
1076,2015-01-02 22:12:17
1020,2015-01-02 22:21:29
1952,2015-01-02 22:22:04
985,2015-01-02 23:33:34
961,2015-01-03 00:40:53
1378,2015-01-03 01:02:42
1449,2015-01-03 01:26:43
1789,2015-01-03 01:44:49
1140,2015-01-03 02:49:31
1134,2015-01-03 02:55:19
518,2015-01-03 04:57:22
1201,2015-01-03 05:18:37
722,2015-01-03 06:13:14
438,2015-01-03 06:45:49
529,2015-01-03 06:58:40
1039,2015-01-03 07:38:09
1539,2015-01-03 07:59:27
1946,2015-01-03 08:18:37
1586,2015-01-03 09:09:41
1239,2015-01-03 09:29:59
339,2015-01-03 09:30:35
1363,2015-01-03 09:54:40
1914,2015-01-03 11:10:02
1913,2015-01-03 12:04:17
820,2015-01-03 12:25:06
1186,2015-01-03 12:43:30
185,2015-01-03 13:26:12
901,2015-01-03 14:12:15
1837,2015-01-03 14:33:02
1716,2015-01-03 14:34:52
695,2015-01-03 15:16:34
724,2015-01-03 15:45:25
267,2015-01-03 16:13:47
800,2015-01-03 16:28:45
245,2015-01-03 16:30:19
1534,2015-01-03 16:44:33
721,2015-01-03 17:05:25
1324,2015-01-03 17:05:50
1084,2015-01-03 17:08:22
1124,2015-01-03 18:05:16
414,2015-01-03 18:37:00
1096,2015-01-03 18:40:35
778,2015-01-03 18:52:52
67,2015-01-03 19:12:09
185,2015-01-03 19:42:45
1236,2015-01-03 19:59:19
1267,2015-01-03 20:19:23
200,2015-01-03 20:40:24
397,2015-01-03 21:08:09
1234,2015-01-03 21:24:20
1933,2015-01-03 21:40:27
1480,2015-01-03 21:50:05
1273,2015-01-03 22:32:51
375,2015-01-03 22:44:18
1256,2015-01-03 23:04:15
731,2015-01-03 23:13:08
1595,2015-01-03 23:23:24
543,2015-01-03 23:36:40
2,2015-01-03 23:44:21
90,2015-01-03 23:44:55
792,2015-01-03 23:50:08
69,2015-01-04 00:03:02
133,2015-01-04 01:15:25
1083,2015-01-04 01:42:06
210,2015-01-04 01:46:20
1999,2015-01-04 02:04:36
1172,2015-01-04 02:18:50
914,2015-01-04 02:19:41
794,2015-01-04 02:32:25
162,2015-01-04 02:50:37
725,2015-01-04 03:59:01
690,2015-01-04 04:20:22
1308,2015-01-04 05:15:04
514,2015-01-04 06:05:43
1444,2015-01-04 06:43:03
1660,2015-01-04 06:50:05
1598,2015-01-04 08:57:28
713,2015-01-04 09:10:28
1008,2015-01-04 09:29:24
25,2015-01-04 09:39:19
1176,2015-01-04 09:54:36
1202,2015-01-04 10:07:15
1270,2015-01-04 10:38:33
1507,2015-01-04 10:40:03
892,2015-01-04 11:41:16
1810,2015-01-04 11:53:34
414,2015-01-04 11:59:34
1262,2015-01-04 12:02:38
1041,2015-01-04 13:41:37
650,2015-01-04 14:45:02
313,2015-01-04 15:00:44
1801,2015-01-04 15:26:58
947,2015-01-04 15:35:43
1189,2015-01-04 16:02:20
1891,2015-01-04 16:26:59
1076,2015-01-04 17:36:33
527,2015-01-04 19:49:42
255,2015-01-04 19:57:25
129,2015-01-04 22:25:32
1378,2015-01-04 22:39:17
756,2015-01-04 23:07:25
105,2015-01-05 01:22:33
1341,2015-01-05 01:31:46
611,2015-01-05 02:00:46
615,2015-01-05 02:15:27
21,2015-01-05 03:02:37
750,2015-01-05 04:51:49
1398,2015-01-05 04:56:08
895,2015-01-05 05:17:21
1144,2015-01-05 06:24:57
1940,2015-01-05 06:58:15
1626,2015-01-05 07:31:50
1831,2015-01-05 07:42:17
211,2015-01-05 07:52:47
1697,2015-01-05 08:39:21
884,2015-01-05 09:05:52
1899,2015-01-05 09:43:56
1751,2015-01-05 09:51:56
149,2015-01-05 10:28:18
773,2015-01-05 11:39:36
485,2015-01-05 11:53:20
890,2015-01-05 11:56:52
1651,2015-01-05 12:16:44
57,2015-01-05 12:16:44
155,2015-01-05 12:52:31
1962,2015-01-05 13:37:26
952,2015-01-05 13:39:31
1526,2015-01-05 14:03:48
58,2015-01-05 14:18:09
595,2015-01-05 15:37:50
1481,2015-01-05 16:29:53
1865,2015-01-05 16:46:39
168,2015-01-05 16:49:58
800,2015-01-05 17:07:23
61,2015-01-05 17:16:42
13,2015-01-05 17:26:18
1824,2015-01-05 17:40:17
111,2015-01-05 17:41:09
363,2015-01-05 17:56:34
1419,2015-01-05 19:45:37
1027,2015-01-05 20:15:54
1895,2015-01-05 20:26:30
278,2015-01-05 20:39:12
1490,2015-01-05 21:26:42
776,2015-01-05 21:48:25
1304,2015-01-05 21:57:16
469,2015-01-05 22:46:34
644,2015-01-05 23:14:52
739,2015-01-05 23:40:51
418,2015-01-05 23:41:15
1477,2015-01-05 23:56:44
1061,2015-01-06 00:13:45
701,2015-01-06 00:54:38
457,2015-01-06 01:07:16
