"user_id","page","unix_timestamp"
6684,"home_page",1451640067
8098,"home_page",1451647141
9440,"home_page",1451653638
1003,"home_page",1451611211
4272,"product_page",1451628024
8067,"search",1451647070
1314,"home_page",1451612802
845,"home_page",1451610443
5263,"home_page",1451632737
7891,"search",1451646428
3051,"home_page",1451621943
8706,"home_page",1451650054
1725,"search",1451615322
52,"search",1451606596
2176,"home_page",1451617589
3591,"home_page",1451624679
813,"home_page",1451610299
9933,"home_page",1451656083
9490,"home_page",1451653918
4915,"home_page",1451631062
5708,"home_page",1451634945
5027,"home_page",1451631687
5806,"home_page",1451635436
2144,"product_page",1451617446
570,"home_page",1451609212
73,"home_page",1451606646
2806,"home_page",1451620722
7216,"product_page",1451642858
512,"product_page",1451608869
1968,"product_page",1451616518
1558,"home_page",1451614251
9829,"home_page",1451655593
807,"search",1451610275
1390,"home_page",1451613254
9926,"search",1451656068
3561,"home_page",1451624564
9901,"home_page",1451655885
1115,"home_page",1451611830
9928,"home_page",1451656075
7858,"home_page",1451646224
5476,"home_page",1451633754
9789,"home_page",1451655292
9631,"home_page",1451654573
5842,"search",1451635663
6783,"home_page",1451640691
3411,"product_page",1451623741
9429,"home_page",1451653582
9719,"search",1451654991
6303,"product_page",1451638106
2706,"home_page",1451620220
7332,"search",1451643458
8688,"home_page",1451649980
5338,"home_page",1451633123
6137,"home_page",1451637217
9311,"search",1451653013
8449,"search",1451648781
8288,"product_page",1451648042
140,"home_page",1451607058
6166,"home_page",1451637424
188,"home_page",1451607329
2400,"home_page",1451618707
5310,"home_page",1451632976
2274,"search",1451618115
2110,"home_page",1451617225
4430,"search",1451628675
7319,"home_page",1451643358
451,"home_page",1451608471
8560,"payment_page",1451649375
1976,"product_page",1451616579
6178,"product_page",1451637489
7538,"search",1451644571
2084,"home_page",1451617085
4816,"home_page",1451630490
1372,"home_page",1451613121
4644,"home_page",1451629714
2479,"search",1451619179
9890,"product_page",1451655841
1294,"home_page",1451612656
9100,"home_page",1451651985
7482,"home_page",1451644098
1040,"home_page",1451611415
2430,"home_page",1451618890
9639,"search",1451654619
4455,"home_page",1451628829
9403,"home_page",1451653442
289,"home_page",1451607718
8921,"home_page",1451651055
4908,"home_page",1451631009
5012,"search",1451631572
7279,"product_page",1451643200
1106,"home_page",1451611777
5681,"home_page",1451634833
3193,"search",1451622622
303,"search",1451607801
8619,"home_page",1451649629
5139,"search",1451632169
8171,"home_page",1451647451
7663,"search",1451645153
4119,"home_page",1451627333
2682,"home_page",1451620112
1908,"search",1451616200
4423,"product_page",1451628631
9893,"home_page",1451655857
7730,"product_page",1451645496
4235,"product_page",1451627834
1212,"search",1451612253
1061,"search",1451611549
1990,"home_page",1451616612
2135,"home_page",1451617400
1952,"home_page",1451616406
6121,"home_page",1451637149
4661,"search",1451629796
7848,"search",1451646159
990,"search",1451611140
8036,"product_page",1451646949
4216,"home_page",1451627740
9260,"product_page",1451652753
7783,"search",1451645772
1126,"home_page",1451611879
4965,"home_page",1451631395
1583,"search",1451614389
606,"home_page",1451609343
1304,"home_page",1451612722
8133,"home_page",1451647263
2546,"home_page",1451619536
7826,"home_page",1451646008
3179,"home_page",1451622537
7502,"home_page",1451644264
5470,"home_page",1451633725
6255,"home_page",1451637886
3444,"home_page",1451623852
5816,"home_page",1451635504
396,"home_page",1451608211
855,"product_page",1451610524
53,"home_page",1451606601
8177,"home_page",1451647466
1544,"search",1451614191
5458,"home_page",1451633693
2523,"home_page",1451619391
2401,"home_page",1451618721
4433,"home_page",1451628687
8679,"home_page",1451649937
1784,"home_page",1451615624
8353,"home_page",1451648318
8376,"search",1451648442
9199,"home_page",1451652506
2946,"home_page",1451621494
4600,"home_page",1451629511
5917,"home_page",1451636017
9903,"home_page",1451655890
370,"home_page",1451608078
6762,"home_page",1451640560
3258,"home_page",1451622999
4165,"home_page",1451627549
9073,"home_page",1451651865
6658,"home_page",1451639938
993,"home_page",1451611144
8952,"home_page",1451651251
3247,"home_page",1451622916
2160,"home_page",1451617496
8249,"home_page",1451647861
5153,"product_page",1451632219
2783,"home_page",1451620627
8166,"search",1451647426
9239,"home_page",1451652658
4946,"search",1451631265
5875,"home_page",1451635795
8046,"home_page",1451646983
2115,"search",1451617315
5338,"search",1451633135
2874,"search",1451621080
5861,"product_page",1451635734
8930,"home_page",1451651081
5541,"home_page",1451634084
8516,"home_page",1451649128
8105,"home_page",1451647166
7985,"home_page",1451646755
7283,"home_page",1451643245
7093,"home_page",1451642182
1608,"home_page",1451614512
7018,"home_page",1451641824
8560,"search",1451649369
9990,"search",1451656344
7621,"home_page",1451644932
5256,"home_page",1451632680
3447,"search",1451623870
5284,"home_page",1451632885
997,"home_page",1451611186
6847,"home_page",1451641035
4046,"home_page",1451626932
2129,"home_page",1451617394
8751,"home_page",1451650276
1071,"home_page",1451611571
4564,"home_page",1451629300
7401,"search",1451643751
8803,"home_page",1451650436
4052,"home_page",1451626952
2442,"home_page",1451618962
8411,"search",1451648611
7445,"home_page",1451643937
1246,"home_page",1451612408
130,"home_page",1451607006
1262,"search",1451612449
2091,"home_page",1451617115
3957,"product_page",1451626580
6803,"home_page",1451640805
3501,"home_page",1451624180
92,"home_page",1451606778
228,"home_page",1451607472
5025,"home_page",1451631673
950,"search",1451610958
724,"home_page",1451609844
8735,"search",1451650230
5853,"home_page",1451635694
2401,"search",1451618724
9365,"home_page",1451653274
3348,"home_page",1451623377
5884,"home_page",1451635858
7515,"home_page",1451644407
5965,"search",1451636290
7335,"payment_page",1451643491
3032,"home_page",1451621888
7831,"home_page",1451646046
4929,"home_page",1451631127
4727,"home_page",1451630105
6067,"home_page",1451636816
2637,"product_page",1451619919
6724,"product_page",1451640314
5353,"product_page",1451633226
6837,"home_page",1451640966
6364,"home_page",1451638344
3589,"home_page",1451624670
5565,"home_page",1451634185
3753,"product_page",1451625514
7692,"home_page",1451645263
9844,"home_page",1451655665
4751,"home_page",1451630214
1433,"search",1451613541
9881,"home_page",1451655790
9391,"home_page",1451653400
6526,"home_page",1451639261
1854,"home_page",1451615919
5761,"home_page",1451635199
9441,"search",1451653669
6718,"home_page",1451640247
6890,"home_page",1451641284
3845,"home_page",1451626000
1307,"home_page",1451612736
6626,"home_page",1451639789
2983,"product_page",1451621640
6181,"home_page",1451637493
8000,"home_page",1451646810
3096,"home_page",1451622142
9960,"home_page",1451656182
2658,"home_page",1451619981
2288,"search",1451618193
6941,"product_page",1451641419
3640,"search",1451624924
220,"home_page",1451607442
3936,"home_page",1451626473
7394,"home_page",1451643714
7887,"search",1451646425
9477,"search",1451653835
8135,"search",1451647283
1194,"home_page",1451612190
1647,"home_page",1451614720
2269,"home_page",1451618090
5370,"home_page",1451633278
1701,"product_page",1451615137
4375,"home_page",1451628410
6368,"home_page",1451638382
8555,"home_page",1451649359
6430,"home_page",1451638772
759,"home_page",1451610073
9639,"payment_page",1451654625
5807,"search",1451635441
8260,"home_page",1451647911
