"user_id","sign_up_date"
121,2015-01-02
617,2015-01-02
619,2015-01-02
625,2015-01-02
753,2015-01-02
1384,2015-01-02
3364,2015-01-02
4820,2015-01-02
4853,2015-01-02
5209,2015-01-02
5354,2015-01-02
6118,2015-01-02
6564,2015-01-02
6701,2015-01-02
7302,2015-01-02
7864,2015-01-02
8116,2015-01-02
8143,2015-01-02
8608,2015-01-02
8675,2015-01-02
9230,2015-01-02
9263,2015-01-02
10113,2015-01-02
10287,2015-01-02
10370,2015-01-02
12028,2015-01-02
12597,2015-01-03
12826,2015-01-03
13014,2015-01-03
13569,2015-01-03
13616,2015-01-03
15005,2015-01-03
15338,2015-01-03
15768,2015-01-03
15822,2015-01-03
15960,2015-01-03
16627,2015-01-03
17357,2015-01-03
17576,2015-01-03
17697,2015-01-03
19030,2015-01-03
21582,2015-01-03
22376,2015-01-04
22530,2015-01-04
23027,2015-01-04
23410,2015-01-04
23424,2015-01-04
24027,2015-01-04
24069,2015-01-04
24644,2015-01-04
25163,2015-01-04
25894,2015-01-04
26226,2015-01-04
26806,2015-01-04
26947,2015-01-04
27092,2015-01-04
27457,2015-01-04
27727,2015-01-04
27931,2015-01-04
28407,2015-01-04
29253,2015-01-04
30117,2015-01-04
30475,2015-01-04
30898,2015-01-04
31333,2015-01-04
32264,2015-01-04
33331,2015-01-04
33464,2015-01-04
34475,2015-01-04
35815,2015-01-04
35893,2015-01-04
36047,2015-01-04
36262,2015-01-05
37384,2015-01-05
38353,2015-01-05
39201,2015-01-05
39914,2015-01-05
41608,2015-01-05
41668,2015-01-05
42022,2015-01-05
42027,2015-01-05
42127,2015-01-05
42448,2015-01-05
42531,2015-01-05
42876,2015-01-05
42928,2015-01-05
43017,2015-01-05
43274,2015-01-05
43651,2015-01-05
43719,2015-01-05
43958,2015-01-05
44051,2015-01-06
44306,2015-01-06
44334,2015-01-06
44428,2015-01-06
44702,2015-01-06
45570,2015-01-06
45939,2015-01-06
46218,2015-01-06
46530,2015-01-06
47051,2015-01-06
47378,2015-01-06
47769,2015-01-06
47919,2015-01-06
48518,2015-01-06
48636,2015-01-06
48714,2015-01-06
49502,2015-01-06
50172,2015-01-06
50859,2015-01-07
51602,2015-01-07
52274,2015-01-07
52277,2015-01-07
52493,2015-01-07
53493,2015-01-07
55445,2015-01-07
55528,2015-01-07
55896,2015-01-07
56143,2015-01-07
56522,2015-01-07
57136,2015-01-07
57430,2015-01-07
58105,2015-01-07
58486,2015-01-07
58679,2015-01-07
58940,2015-01-07
59351,2015-01-07
59531,2015-01-07
60237,2015-01-07
60241,2015-01-07
61204,2015-01-08
61254,2015-01-08
61689,2015-01-08
61892,2015-01-08
62340,2015-01-08
63024,2015-01-08
63382,2015-01-08
64404,2015-01-08
64495,2015-01-08
64519,2015-01-08
64533,2015-01-08
64554,2015-01-08
65516,2015-01-08
66132,2015-01-08
66414,2015-01-08
68155,2015-01-08
69546,2015-01-08
69585,2015-01-08
70069,2015-01-08
70204,2015-01-08
70500,2015-01-08
70685,2015-01-08
70818,2015-01-08
71044,2015-01-08
71188,2015-01-08
71314,2015-01-08
71363,2015-01-09
71451,2015-01-09
72738,2015-01-09
72795,2015-01-09
72963,2015-01-09
73489,2015-01-09
76184,2015-01-09
78055,2015-01-09
78843,2015-01-09
79733,2015-01-09
80517,2015-01-09
80576,2015-01-09
80627,2015-01-09
81571,2015-01-09
81604,2015-01-09
81828,2015-01-09
82019,2015-01-09
82532,2015-01-09
83540,2015-01-09
84875,2015-01-09
85478,2015-01-09
85489,2015-01-09
85535,2015-01-09
85633,2015-01-09
85880,2015-01-10
86463,2015-01-10
86643,2015-01-10
87066,2015-01-10
87157,2015-01-10
87257,2015-01-10
87883,2015-01-10
87973,2015-01-10
89143,2015-01-10
89737,2015-01-10
91103,2015-01-10
91128,2015-01-10
91955,2015-01-10
92049,2015-01-10
92784,2015-01-10
93587,2015-01-10
94059,2015-01-10
94144,2015-01-10
94207,2015-01-10
95813,2015-01-10
96141,2015-01-10
96492,2015-01-10
96644,2015-01-10
97221,2015-01-10
97731,2015-01-10
99225,2015-01-10
100206,2015-01-10
100293,2015-01-10
100646,2015-01-10
100709,2015-01-10
101251,2015-01-11
101374,2015-01-11
101946,2015-01-11
102146,2015-01-11
102401,2015-01-11
102595,2015-01-11
102959,2015-01-11
103201,2015-01-11
103365,2015-01-11
103405,2015-01-11
105463,2015-01-11
105902,2015-01-11
105955,2015-01-11
106451,2015-01-11
106468,2015-01-11
107155,2015-01-11
107869,2015-01-11
107917,2015-01-12
108400,2015-01-12
108607,2015-01-12
108717,2015-01-12
108895,2015-01-12
109113,2015-01-12
110321,2015-01-12
111097,2015-01-12
111386,2015-01-12
111824,2015-01-12
111861,2015-01-12
111939,2015-01-12
112509,2015-01-12
112603,2015-01-12
113495,2015-01-12
113831,2015-01-12
114253,2015-01-12
114567,2015-01-12
114739,2015-01-12
114969,2015-01-12
115350,2015-01-12
116943,2015-01-12
117253,2015-01-12
117556,2015-01-12
117863,2015-01-12
118787,2015-01-12
119838,2015-01-12
119943,2015-01-13
121001,2015-01-13
121049,2015-01-13
121519,2015-01-13
121909,2015-01-13
122363,2015-01-13
122407,2015-01-13
122591,2015-01-13
122856,2015-01-13
123232,2015-01-13
123875,2015-01-13
124314,2015-01-13
124465,2015-01-13
126629,2015-01-13
126681,2015-01-13
126987,2015-01-13
127760,2015-01-13
129370,2015-01-13
129608,2015-01-13
130588,2015-01-13
130997,2015-01-13
131503,2015-01-13
132008,2015-01-13
132646,2015-01-13
132767,2015-01-13
132852,2015-01-14
